Month of Period End,Region,Avg. Median Sale Price,Avg. Median Ppsf
Dec-14,"San Francisco, CA - Silver Terrace",$713K,618.6046512
Jan-15,"San Francisco, CA - Silver Terrace",$711K,500
Feb-15,"San Francisco, CA - Silver Terrace",$716K,459.3997208
Mar-15,"San Francisco, CA - Silver Terrace",$900K,500
Apr-15,"San Francisco, CA - Silver Terrace",$665K,554.1666667
May-15,"San Francisco, CA - Silver Terrace",$655K,549.8584651
Jun-15,"San Francisco, CA - Silver Terrace",$680K,508.4125823
Jul-15,"San Francisco, CA - Silver Terrace",$719K,575.2580122
Aug-15,"San Francisco, CA - Silver Terrace",$809K,636
Sep-15,"San Francisco, CA - Silver Terrace",$708K,663.3165829
Oct-15,"San Francisco, CA - Silver Terrace",$732K,588.0092237
Nov-15,"San Francisco, CA - Silver Terrace",$708K,585.8877964
Dec-15,"San Francisco, CA - Silver Terrace",$765K,586.0805861
Jan-16,"San Francisco, CA - Silver Terrace",$750K,562.1621622
Feb-16,"San Francisco, CA - Silver Terrace",$758K,542.539267
Mar-16,"San Francisco, CA - Silver Terrace",$829K,507.4224022
Apr-16,"San Francisco, CA - Silver Terrace",$820K,500.0166198
May-16,"San Francisco, CA - Silver Terrace",$766K,514.2857143
Jun-16,"San Francisco, CA - Silver Terrace",$750K,529.8701299
Jul-16,"San Francisco, CA - Silver Terrace",$744K,521.5490319
Aug-16,"San Francisco, CA - Silver Terrace",$750K,516.0936649
Sep-16,"San Francisco, CA - Silver Terrace",$775K,573.5034537
Oct-16,"San Francisco, CA - Silver Terrace",$775K,599.0925741
Nov-16,"San Francisco, CA - Silver Terrace",$739K,625.4578755
Dec-16,"San Francisco, CA - Silver Terrace",$707K,612.6381462
Jan-17,"San Francisco, CA - Silver Terrace",$725K,576
Feb-17,"San Francisco, CA - Silver Terrace",$800K,577.373814
Mar-17,"San Francisco, CA - Silver Terrace",$800K,576
Apr-17,"San Francisco, CA - Silver Terrace",$832K,643.7460391
May-17,"San Francisco, CA - Silver Terrace",$839K,739.1304348
Jun-17,"San Francisco, CA - Silver Terrace",$843K,592.9609793
Jul-17,"San Francisco, CA - Silver Terrace",$780K,583.6575875
Aug-17,"San Francisco, CA - Silver Terrace",$800K,632.6847613
Sep-17,"San Francisco, CA - Silver Terrace",$805K,697.4424174
Oct-17,"San Francisco, CA - Silver Terrace",$820K,743.7073472
Nov-17,"San Francisco, CA - Silver Terrace",$835K,720.4244032
Dec-17,"San Francisco, CA - Silver Terrace",$920K,753.2956686
Jan-18,"San Francisco, CA - Silver Terrace",$858K,753.2956686
Feb-18,"San Francisco, CA - Silver Terrace",$858K,759.410802
Mar-18,"San Francisco, CA - Silver Terrace",$885K,759.410802
Apr-18,"San Francisco, CA - Silver Terrace",$904K,830.078125
May-18,"San Francisco, CA - Silver Terrace",$914K,872.0930233
Jun-18,"San Francisco, CA - Silver Terrace","$1,010K",818.1818182
Jul-18,"San Francisco, CA - Silver Terrace","$1,050K",818.1818182
Aug-18,"San Francisco, CA - Silver Terrace","$1,050K",750.2222222
Sep-18,"San Francisco, CA - Silver Terrace",$938K,838.7222222
Oct-18,"San Francisco, CA - Silver Terrace",$900K,689.3755069
Nov-18,"San Francisco, CA - Silver Terrace",$889K,565.5409586
Dec-18,"San Francisco, CA - Silver Terrace",$920K,580.8898755
Jan-19,"San Francisco, CA - Silver Terrace",$904K,706.4364207
Feb-19,"San Francisco, CA - Silver Terrace",$910K,760
Mar-19,"San Francisco, CA - Silver Terrace",$910K,758.9083201
Apr-19,"San Francisco, CA - Silver Terrace",$910K,743.6170213
May-19,"San Francisco, CA - Silver Terrace",$978K,725.0755287
Jun-19,"San Francisco, CA - Silver Terrace","$1,175K",743.6170213
Jul-19,"San Francisco, CA - Silver Terrace","$1,200K",822.3337679
Aug-19,"San Francisco, CA - Silver Terrace","$1,083K",788.7129958
Sep-19,"San Francisco, CA - Silver Terrace",$990K,675.3329106
Oct-19,"San Francisco, CA - Silver Terrace",$998K,644.8293792
Nov-19,"San Francisco, CA - Silver Terrace","$1,005K",630.2201974
Dec-19,"San Francisco, CA - Silver Terrace",$964K,581.0488677
Jan-20,"San Francisco, CA - Silver Terrace","$1,018K",724.0578689
Feb-20,"San Francisco, CA - Silver Terrace","$1,093K",676.6065281
Feb-12,"San Francisco, CA - Russian Hill",$895K,752.688172
Mar-12,"San Francisco, CA - Russian Hill",$860K,752.688172
Apr-12,"San Francisco, CA - Russian Hill",$900K,806.7602666
May-12,"San Francisco, CA - Russian Hill",$975K,807.2916667
Jun-12,"San Francisco, CA - Russian Hill",$938K,783.0631776
Jul-12,"San Francisco, CA - Russian Hill","$1,269K",804.0167032
Aug-12,"San Francisco, CA - Russian Hill","$1,263K",826.1615111
Sep-12,"San Francisco, CA - Russian Hill","$1,254K",887.5739645
Oct-12,"San Francisco, CA - Russian Hill","$1,100K",760
Nov-12,"San Francisco, CA - Russian Hill","$1,153K",755.6818182
Dec-12,"San Francisco, CA - Russian Hill","$1,205K",745.1923077
Jan-13,"San Francisco, CA - Russian Hill","$1,170K",856.6666667
Feb-13,"San Francisco, CA - Russian Hill","$1,380K",913.6546185
Mar-13,"San Francisco, CA - Russian Hill","$1,600K",881.953867
Apr-13,"San Francisco, CA - Russian Hill","$1,585K",921.0526316
May-13,"San Francisco, CA - Russian Hill","$1,423K",921.0526316
Jun-13,"San Francisco, CA - Russian Hill","$1,420K",949.0590248
Jul-13,"San Francisco, CA - Russian Hill","$1,400K",938.8366125
Aug-13,"San Francisco, CA - Russian Hill","$1,575K",982.8533691
Sep-13,"San Francisco, CA - Russian Hill","$1,725K","1,000.85"
Oct-13,"San Francisco, CA - Russian Hill","$1,788K","1,010.06"
Nov-13,"San Francisco, CA - Russian Hill","$1,694K",997.3085778
Dec-13,"San Francisco, CA - Russian Hill","$1,580K","1,016.25"
Jan-14,"San Francisco, CA - Russian Hill","$1,375K","1,040"
Feb-14,"San Francisco, CA - Russian Hill","$1,552K","1,123.22"
Mar-14,"San Francisco, CA - Russian Hill","$1,300K","1,049.92"
Apr-14,"San Francisco, CA - Russian Hill","$1,400K","1,049.92"
May-14,"San Francisco, CA - Russian Hill","$1,400K","1,039.92"
Jun-14,"San Francisco, CA - Russian Hill","$1,583K",999.5543537
Jul-14,"San Francisco, CA - Russian Hill","$1,550K",998.4833165
Aug-14,"San Francisco, CA - Russian Hill","$1,575K",998.4833165
Sep-14,"San Francisco, CA - Russian Hill","$1,575K",980.3921569
Oct-14,"San Francisco, CA - Russian Hill","$1,600K","1,013.71"
Nov-14,"San Francisco, CA - Russian Hill","$1,250K",973.948699
Dec-14,"San Francisco, CA - Russian Hill","$1,563K",909.5940959
Jan-15,"San Francisco, CA - Russian Hill","$1,800K",935.7450399
Feb-15,"San Francisco, CA - Russian Hill","$1,658K","1,022.85"
Mar-15,"San Francisco, CA - Russian Hill","$1,155K","1,168.95"
Apr-15,"San Francisco, CA - Russian Hill","$1,200K","1,288.50"
May-15,"San Francisco, CA - Russian Hill","$1,650K","1,230.12"
Jun-15,"San Francisco, CA - Russian Hill","$2,138K","1,246.88"
Jul-15,"San Francisco, CA - Russian Hill","$1,900K","1,053.19"
Aug-15,"San Francisco, CA - Russian Hill","$1,650K","1,053.19"
Sep-15,"San Francisco, CA - Russian Hill","$1,609K","1,107.40"
Oct-15,"San Francisco, CA - Russian Hill","$1,575K","1,129.03"
Nov-15,"San Francisco, CA - Russian Hill","$1,533K","1,132.67"
Dec-15,"San Francisco, CA - Russian Hill","$1,575K","1,164.18"
Jan-16,"San Francisco, CA - Russian Hill","$1,900K","1,149.93"
Feb-16,"San Francisco, CA - Russian Hill","$2,026K","1,164.60"
Mar-16,"San Francisco, CA - Russian Hill","$2,026K","1,067.46"
Apr-16,"San Francisco, CA - Russian Hill","$2,013K","1,031.78"
May-16,"San Francisco, CA - Russian Hill","$1,620K","1,070.36"
Jun-16,"San Francisco, CA - Russian Hill","$1,513K","1,036.39"
Jul-16,"San Francisco, CA - Russian Hill","$1,285K","1,072.39"
Aug-16,"San Francisco, CA - Russian Hill","$1,275K","1,084.08"
Sep-16,"San Francisco, CA - Russian Hill","$1,350K","1,191.68"
Oct-16,"San Francisco, CA - Russian Hill","$1,700K","1,167.78"
Nov-16,"San Francisco, CA - Russian Hill","$1,750K","1,182.78"
Dec-16,"San Francisco, CA - Russian Hill","$1,890K","1,247.46"
Jan-17,"San Francisco, CA - Russian Hill","$1,650K","1,396.49"
Feb-17,"San Francisco, CA - Russian Hill","$2,500K","1,312.52"
Mar-17,"San Francisco, CA - Russian Hill","$2,473K","1,237.42"
Apr-17,"San Francisco, CA - Russian Hill","$2,500K","1,190.48"
May-17,"San Francisco, CA - Russian Hill","$2,375K","1,212.58"
Jun-17,"San Francisco, CA - Russian Hill","$2,275K","1,197.56"
Jul-17,"San Francisco, CA - Russian Hill","$1,995K","1,111.11"
Aug-17,"San Francisco, CA - Russian Hill","$1,650K","1,082.90"
Sep-17,"San Francisco, CA - Russian Hill","$1,650K","1,111.11"
Oct-17,"San Francisco, CA - Russian Hill","$1,743K","1,097.96"
Nov-17,"San Francisco, CA - Russian Hill","$1,868K","1,113.01"
Dec-17,"San Francisco, CA - Russian Hill","$1,900K","1,234.86"
Jan-18,"San Francisco, CA - Russian Hill","$1,900K","1,234.86"
Feb-18,"San Francisco, CA - Russian Hill","$2,600K","1,234.86"
Mar-18,"San Francisco, CA - Russian Hill","$2,400K","1,260.50"
Apr-18,"San Francisco, CA - Russian Hill","$2,100K","1,316.81"
May-18,"San Francisco, CA - Russian Hill","$1,900K","1,296.04"
Jun-18,"San Francisco, CA - Russian Hill","$2,050K","1,152.07"
Jul-18,"San Francisco, CA - Russian Hill","$1,638K","1,170.73"
Aug-18,"San Francisco, CA - Russian Hill","$1,888K","1,177.14"
Sep-18,"San Francisco, CA - Russian Hill","$1,800K","1,197.32"
Oct-18,"San Francisco, CA - Russian Hill","$1,875K","1,178.57"
Nov-18,"San Francisco, CA - Russian Hill","$1,838K","1,143.92"
Dec-18,"San Francisco, CA - Russian Hill","$1,988K","1,202.06"
Jan-19,"San Francisco, CA - Russian Hill","$1,988K","1,270.98"
Feb-19,"San Francisco, CA - Russian Hill","$1,950K","1,206.88"
Mar-19,"San Francisco, CA - Russian Hill","$1,900K","1,225.85"
Apr-19,"San Francisco, CA - Russian Hill","$1,688K","1,242.76"
May-19,"San Francisco, CA - Russian Hill","$1,475K","1,187.82"
Jun-19,"San Francisco, CA - Russian Hill","$1,700K","1,171.86"
Jul-19,"San Francisco, CA - Russian Hill","$1,560K","1,132.66"
Aug-19,"San Francisco, CA - Russian Hill","$2,000K","1,196.57"
Sep-19,"San Francisco, CA - Russian Hill","$1,580K","1,178.86"
Oct-19,"San Francisco, CA - Russian Hill","$2,150K","1,137.84"
Nov-19,"San Francisco, CA - Russian Hill","$2,098K","1,172.48"
Dec-19,"San Francisco, CA - Russian Hill","$1,845K","1,278.41"
Jan-20,"San Francisco, CA - Russian Hill","$1,883K",665.461723
Feb-20,"San Francisco, CA - Russian Hill","$1,900K",722.8133545
Feb-12,"San Francisco, CA - Rincon Hill",$781K,756.1081503
Mar-12,"San Francisco, CA - Rincon Hill",$673K,764.4992435
Apr-12,"San Francisco, CA - Rincon Hill",$773K,790.2022723
May-12,"San Francisco, CA - Rincon Hill",$749K,810.3869912
Jun-12,"San Francisco, CA - Rincon Hill",$830K,847.1124385
Jul-12,"San Francisco, CA - Rincon Hill",$737K,851.8509022
Aug-12,"San Francisco, CA - Rincon Hill",$775K,776.1786669
Sep-12,"San Francisco, CA - Rincon Hill",$777K,798.6465878
Oct-12,"San Francisco, CA - Rincon Hill",$798K,842.4916476
Nov-12,"San Francisco, CA - Rincon Hill",$795K,856.6354168
Dec-12,"San Francisco, CA - Rincon Hill",$825K,840.4499541
Jan-13,"San Francisco, CA - Rincon Hill",$826K,932.1751623
Feb-13,"San Francisco, CA - Rincon Hill",$842K,957.3147198
Mar-13,"San Francisco, CA - Rincon Hill",$876K,"1,004.38"
Apr-13,"San Francisco, CA - Rincon Hill",$982K,"1,028.14"
May-13,"San Francisco, CA - Rincon Hill","$1,014K","1,037.83"
Jun-13,"San Francisco, CA - Rincon Hill","$1,032K",987.212434
Jul-13,"San Francisco, CA - Rincon Hill","$1,025K",981.8685158
Aug-13,"San Francisco, CA - Rincon Hill",$980K,993.8522804
Sep-13,"San Francisco, CA - Rincon Hill",$867K,"1,006.27"
Oct-13,"San Francisco, CA - Rincon Hill",$851K,"1,061.82"
Nov-13,"San Francisco, CA - Rincon Hill",$852K,"1,045.34"
Dec-13,"San Francisco, CA - Rincon Hill",$901K,"1,024.59"
Jan-14,"San Francisco, CA - Rincon Hill",$911K,"1,028.15"
Feb-14,"San Francisco, CA - Rincon Hill",$963K,"1,081.52"
Mar-14,"San Francisco, CA - Rincon Hill","$1,087K","1,105.77"
Apr-14,"San Francisco, CA - Rincon Hill",$996K,"1,099.23"
May-14,"San Francisco, CA - Rincon Hill",$954K,"1,097.09"
Jun-14,"San Francisco, CA - Rincon Hill",$925K,"1,075.61"
Jul-14,"San Francisco, CA - Rincon Hill","$1,008K","1,067.63"
Aug-14,"San Francisco, CA - Rincon Hill",$997K,"1,063.18"
Sep-14,"San Francisco, CA - Rincon Hill",$996K,"1,093.06"
Oct-14,"San Francisco, CA - Rincon Hill",$947K,"1,141.11"
Nov-14,"San Francisco, CA - Rincon Hill","$1,014K","1,239.25"
Dec-14,"San Francisco, CA - Rincon Hill","$1,050K","1,303.59"
Jan-15,"San Francisco, CA - Rincon Hill","$1,185K","1,305.93"
Feb-15,"San Francisco, CA - Rincon Hill","$1,208K","1,265.15"
Mar-15,"San Francisco, CA - Rincon Hill","$1,230K","1,235.64"
Apr-15,"San Francisco, CA - Rincon Hill","$1,253K","1,232.99"
May-15,"San Francisco, CA - Rincon Hill","$1,214K","1,217.44"
Jun-15,"San Francisco, CA - Rincon Hill","$1,178K","1,211.69"
Jul-15,"San Francisco, CA - Rincon Hill","$1,118K","1,181.52"
Aug-15,"San Francisco, CA - Rincon Hill","$1,127K","1,227.21"
Sep-15,"San Francisco, CA - Rincon Hill","$1,081K","1,187.17"
Oct-15,"San Francisco, CA - Rincon Hill",$990K,"1,169.56"
Nov-15,"San Francisco, CA - Rincon Hill",$912K,"1,202.96"
Dec-15,"San Francisco, CA - Rincon Hill","$1,062K","1,263.61"
Jan-16,"San Francisco, CA - Rincon Hill","$1,225K","1,323.50"
Feb-16,"San Francisco, CA - Rincon Hill","$1,212K","1,311.79"
Mar-16,"San Francisco, CA - Rincon Hill","$1,110K","1,231.21"
Apr-16,"San Francisco, CA - Rincon Hill","$1,236K","1,171.72"
May-16,"San Francisco, CA - Rincon Hill","$1,174K","1,125.99"
Jun-16,"San Francisco, CA - Rincon Hill","$1,259K","1,196.74"
Jul-16,"San Francisco, CA - Rincon Hill","$1,124K","1,217.81"
Aug-16,"San Francisco, CA - Rincon Hill","$1,150K","1,167.04"
Sep-16,"San Francisco, CA - Rincon Hill","$1,148K","1,147.41"
Oct-16,"San Francisco, CA - Rincon Hill","$1,140K","1,130.50"
Nov-16,"San Francisco, CA - Rincon Hill","$1,078K","1,128.01"
Dec-16,"San Francisco, CA - Rincon Hill",$951K,"1,071.49"
Jan-17,"San Francisco, CA - Rincon Hill",$925K,"1,141.12"
Feb-17,"San Francisco, CA - Rincon Hill",$925K,"1,150.52"
Mar-17,"San Francisco, CA - Rincon Hill","$1,000K","1,170.96"
Apr-17,"San Francisco, CA - Rincon Hill","$1,120K","1,168.31"
May-17,"San Francisco, CA - Rincon Hill","$1,131K","1,212.70"
Jun-17,"San Francisco, CA - Rincon Hill","$1,189K","1,198.81"
Jul-17,"San Francisco, CA - Rincon Hill","$1,264K","1,211.72"
Aug-17,"San Francisco, CA - Rincon Hill","$1,260K","1,162.26"
Sep-17,"San Francisco, CA - Rincon Hill","$1,276K","1,197.39"
Oct-17,"San Francisco, CA - Rincon Hill","$1,208K","1,134.30"
Nov-17,"San Francisco, CA - Rincon Hill","$1,230K","1,273.37"
Dec-17,"San Francisco, CA - Rincon Hill","$1,174K","1,295.19"
Jan-18,"San Francisco, CA - Rincon Hill","$1,201K","1,472.20"
Feb-18,"San Francisco, CA - Rincon Hill","$1,198K","1,357.62"
Mar-18,"San Francisco, CA - Rincon Hill","$1,570K","1,353.69"
Apr-18,"San Francisco, CA - Rincon Hill","$1,350K","1,317.56"
May-18,"San Francisco, CA - Rincon Hill","$1,346K","1,337.43"
Jun-18,"San Francisco, CA - Rincon Hill","$1,250K","1,322.82"
Jul-18,"San Francisco, CA - Rincon Hill","$1,250K","1,327.37"
Aug-18,"San Francisco, CA - Rincon Hill","$1,429K","1,353.14"
Sep-18,"San Francisco, CA - Rincon Hill","$1,335K","1,335.65"
Oct-18,"San Francisco, CA - Rincon Hill","$1,265K","1,308.88"
Nov-18,"San Francisco, CA - Rincon Hill","$1,098K","1,288.26"
Dec-18,"San Francisco, CA - Rincon Hill","$1,096K","1,247.75"
Jan-19,"San Francisco, CA - Rincon Hill","$1,155K","1,273.34"
Feb-19,"San Francisco, CA - Rincon Hill","$1,099K","1,318.70"
Mar-19,"San Francisco, CA - Rincon Hill","$1,130K","1,369.63"
Apr-19,"San Francisco, CA - Rincon Hill","$1,174K","1,364.90"
May-19,"San Francisco, CA - Rincon Hill","$1,212K","1,379.92"
Jun-19,"San Francisco, CA - Rincon Hill","$1,225K","1,371.69"
Jul-19,"San Francisco, CA - Rincon Hill","$1,219K","1,396.42"
Aug-19,"San Francisco, CA - Rincon Hill","$1,213K","1,375.45"
Sep-19,"San Francisco, CA - Rincon Hill","$1,219K","1,385.63"
Oct-19,"San Francisco, CA - Rincon Hill","$1,211K","1,345.37"
Nov-19,"San Francisco, CA - Rincon Hill","$1,355K","1,235.95"
Dec-19,"San Francisco, CA - Rincon Hill","$1,224K","1,231.73"
Jan-20,"San Francisco, CA - Rincon Hill","$1,090K",782.122905
Feb-20,"San Francisco, CA - Rincon Hill","$1,090K",637.3114525
Feb-12,"San Francisco, CA - Presidio Terrace","$2,225K",618.9543352
Mar-12,"San Francisco, CA - Presidio Terrace","$1,543K",631.8480643
Apr-12,"San Francisco, CA - Presidio Terrace","$1,298K",660.9642302
May-12,"San Francisco, CA - Presidio Terrace","$1,320K",736.7280607
Jun-12,"San Francisco, CA - Presidio Terrace","$1,320K",644.7831184
Jul-12,"San Francisco, CA - Presidio Terrace","$1,146K",644.7831184
Aug-12,"San Francisco, CA - Presidio Terrace","$1,558K",673.5344163
Sep-12,"San Francisco, CA - Presidio Terrace","$1,615K",672.659368
Oct-12,"San Francisco, CA - Presidio Terrace","$1,400K",633
Nov-12,"San Francisco, CA - Presidio Terrace","$1,300K",587.4665956
Dec-12,"San Francisco, CA - Presidio Terrace","$1,405K",541.9331912
Jan-13,"San Francisco, CA - Presidio Terrace","$1,313K",775.4226555
Feb-13,"San Francisco, CA - Presidio Terrace",$820K,771.5899919
Mar-13,"San Francisco, CA - Presidio Terrace",$995K,771.5899919
Apr-13,"San Francisco, CA - Presidio Terrace",$976K,878.1523417
May-13,"San Francisco, CA - Presidio Terrace",$995K,786.7132867
Jun-13,"San Francisco, CA - Presidio Terrace",$800K,774.3090243
Jul-13,"San Francisco, CA - Presidio Terrace","$1,499K",774.3090243
Aug-13,"San Francisco, CA - Presidio Terrace","$1,499K",748.1912809
Sep-13,"San Francisco, CA - Presidio Terrace",$990K,768.7381604
Oct-13,"San Francisco, CA - Presidio Terrace","$1,100K",799.1496599
Nov-13,"San Francisco, CA - Presidio Terrace","$1,215K",850
